29-01-2015,Laurent,Markus Elstner
05-03-2015,Matt,Wes Borden / Angela Wilson
19-03-2015,Ewa,Mel Levy
02-04-2015,Adrien,Klaus Schulten
21-05-2015,Laurent,Erin Johnson
04-06-2015,Anya,Bickelhaupt
31-08-2015,Michael,Norskov
10-09-2015,Laurent,Miquel Sola
01-10-2015,Ewa,P. Gill
29-10-2015,Anya,Shaik
10-11-2015,Jian-Hao,Sham
17-12-2015,Michael,Sheffer
14-01-2016,Matt,Dean J. Tantillo (UC Davis)
28-01-2016,Antonio,Makri
07-02-2016,Riccardo,Frenkel
14-02-2016,Laurent,Popellier
03-03-2016,Ewa,Roland Lindh
16-06-2016,Matt,Conferences
25-08-2016,Antonio,Yitzhak Apeloig
07-09-2016,Anya+Laurent,Conference
22-09-2016,Anya,Mark Gordon
06-10-2016,Jian-Hao,Claudia Filippi
20-10-2016,Alberto,Mike Schmidt
03-11-2016,Matt,Steven Wheeler
01-12-2016,Stepan,Berni Alder
15-12-2016,Laurent,Mathias Ernzerhof
02-03-2017,Kun,Mei-Ying Chou
16-03-2017,Giulia,Emily Carter
29-03-2017,Benjamin,Philip Coppens
20-04-2017,Boodsarin,Frank Neese
04-05-2017,Anya,Theresa Windus
26-05-2017,Jian-Hao,Mike Payne
01-06-2017,Antonio,Andrew M. Rappe
15-06-2017,Matt,John Stanton
11-10-2017,Matt,Jeremy Harvey
17-10-2017,Stepan,Josef Michl
26-10-2017,Jian-Hao,Keneeth Ruud
16-11-2017,Giulia,Vincenzo Barone
23-11-2017,Alberto,Kimihiko Hirao
30-11-2017,Kun,Gerbrand Ceder
01-02-2018,Raimon,Vladimir Fock
08-02-2018,Benjamin,Xavier Blasé
15-02-2018,Veronika,Anna Krylov
23-02-2018,Anya,Mark A. Ratner
01-03-2018,Boodsarin,Alessandro Troisi
16-03-2018,Matt,Tom Woo
20-04-2018,Alberto,Ali Alavi
27-04-2018,Kun,Chao-Ping Hsu
18-05-2018,Anya,Kenneth D. Jordan
25-05-2018,Benjamin,Christoph Chipot
30-08-2018,Raimon,Alberto Fabrizio (LCMD)
20-09-2018,Boodsarin,Rudolph Pariser
04-10-2018,Veronika,William Jorgensen
11-10-2018,Sergi,Richard Feynman
22-11-2018,Daniel,Rudolf Zahradnik
29-11-2018,Alberto,Katarzyna Pernal
22-02-2019,Kun,Noa Marom
22-03-2019,Raimon,Adriaan Fockker
29-03-2019,Veronika,David Glowacki
05-04-2019,Boodsarin,Leticia Gonzalez
19-04-2019,Sergi,"Emmett Lathrop ""Doc"" Brown, Ph.D."
26-04-2019,Alberto,Gábor Csányi
08-05-2019,Maria,Laura Gagliardi
23-05-2019,Raimon,Mary L. Good
13-06-2019,Matt,Natalie Fey
04-07-2019,Terry,John Polanyi
19-09-2019,Shubhajit,Michael Kasha
11-10-2019,Kun,Kristin Aslaug Persson
17-10-2019,Simone,Odile Eisenstein
31-10-2019,Raimon,Grace Hopper
07-11-2019,Benjamin,"Kenneth M. Merz, Jr."
21-11-2019,Matt,Daniel Singleton
28-11-2019,Boodsarin,Peter R. Schreiner
17-12-2019,Sergi,Dr. Who
23-01-2020,Alberto,Alex Granovsky
07-02-2020,Alan,Cédric Villani
21-02-2020,Ksenia,Trygve Helgaker
28-02-2020,Terry,Steve Westcott
26-03-2020,Marc,Edgar Heilbronner
02-04-2020,Raimon,Geoffrey Hinton
20-04-2020,Maria,Irene Burghardt
24-04-2020,Matt,Anastassia Alexandrova
01-05-2020,Simone,Matthew Sigman
08-05-2020,Veronika,Pavel Jungwirth
15-05-2020,Boodsarin,Alan Aspuru-Guzik
22-05-2020,Kun,Claudia Draxl
05-06-2020,Alberto,Heather Kulik
12-06-2020,Sergi,Mike Robb
26-06-2020,Ksenia,Artem Oganov
03-07-2020,Marc,Rudolph A. Marcus
28-08-2020,Terry,Zhores Alferov
25-09-2020,Raimon,Andrew Ng
09-10-2020,Simone,Lesley Jane Yellowlees
15-10-2020,Shubhajit,Angelos Michaelides
23-10-2020,Matt,Francesco Paesani
30-10-2020,Maria,Lin X. Chen
